Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D106,1N4148,D_SOD-123,47.625040,-123.825104,90.000000,bottom
D107,1N4148,D_SOD-123,71.437560,-123.825104,90.000000,bottom
D108,1N4148,D_SOD-123,314.325264,-123.825104,90.000000,bottom
D109,1N4148,D_SOD-123,333.375280,-123.825104,90.000000,bottom
D110,1N4148,D_SOD-123,352.425296,-123.825104,90.000000,bottom
D111,1N4148,D_SOD-123,361.950304,-123.825104,90.000000,bottom
D112,1N4148,D_SOD-123,398.859710,-123.825104,90.000000,bottom
D113,1N4148,D_SOD-123,401.240962,-123.825104,90.000000,bottom
D114,1N4148,D_SOD-123,419.100352,-114.300096,90.000000,bottom
F1,Fuse,Fuse_1206_3216Metric,356.689200,-5.740400,180.000000,bottom
R1,22,R_0805_2012Metric,357.569301,-14.235201,270.000000,bottom
R2,22,R_0805_2012Metric,355.537301,-14.235201,270.000000,bottom
R3,1k,R_0805_2012Metric,374.451877,-17.859390,180.000000,bottom
R4,1k,R_0805_2012Metric,400.050336,-17.859390,180.000000,bottom
R5,10k,R_0805_2012Metric,311.066000,-95.476748,180.000000,bottom
R6,1k,R_0805_2012Metric,425.648795,-17.859390,180.000000,bottom
R7,10k,R_0805_2012Metric,296.291000,-80.962568,180.000000,bottom
U1,ATmega32U4,TQFP-44_10x10mm_P0.8mm,304.800256,-87.511011,270.000000,bottom
U2,SRV05-4,SOT-23-6,356.553301,-10.450601,0.000000,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,304.673000,-98.425000,180.000000,bottom
